---------------------------------------------------------------------------
 International Telecommunications Union - Radiocommunication Sector (ITU-R)
     ITURHFProp         Ver Aug  1 2026
     HF Model (P533)    Ver 14.1
     Noise Model (P372) Ver 14.2
     Analysis Prepared  Sat Aug  1 06:13:21 2026

---------------------------------------------------------------------------

***************************** P533 Input Parameters ****************************

	Benchmark: 24 hours x 10 frequencies
	Year          : 2026
	Month         : August
	Hour          : 1 (hour UTC)
	SSN (R12)     : 80
	Distance      : 174.728941 (km)
	dmax          : 4000.000000 (km)
	Tx power      : 0.000000
	Tx Location     LUXEMBURG
	Tx latitude   :  49.666667 N
	Tx longitude  :   6.316667 E
	Rx Location     BOCKHACKEN
	Rx latitude   :  51.116667 N
	Rx longitude  :   7.266667 E
	local time Rx : 1 (hour UTC)
	local time Tx : 1 (hour UTC)
	Frequency     : 3.500000
	Bandwidth     : 1000.000000
	Modulation : ANALOG
	Required signal-to-noise ratio : 10.000000
	Required % of month signal-to-noise ratio :  10
	Required signal-to-interference ratio : 23.760000
	Man-made noise : RURAL
	Antenna configuration : User determined
	Path Direction : SHORTPATH
	Transmit antenna               ISOTROPIC
	Transmit antenna bearing     : 106.868000
	Transmit antenna gain offset : 0.000000
	Receive antenna                ISOTROPIC
	Receive antenna bearing      : 43.666000
	Receive antenna gain offset  : 0.000000

************************ End P533 Input Parameters *****************************

************************** ITURHFP Input Parameters *****************************

	Upper left (North West) latitude   :  51.116667 N
	Upper left (North West) longitude  :   7.266667 E
	Lower right (South East) latitude  :  51.116667 N
	Lower right (South East) longitude :   7.266667 E
	Number of frequencies : 10
	Number of hours       : 24
	Number of months      : 1
	Latitude increment    : 1.000000 (deg)
	Longitude increment   : 1.000000 (deg)

************************** ITURHFP Input Parameters *****************************

******************************** Data Format ***********************************

Column 01: Month
Column 02: Hour
Column 03: Frequency (MHz)
Column 04: Receiver latitude (deg)
Column 05: Receiver longitude (deg)
Column 06: D - Path distance (km)
Column 07: E - Path Field Strength (dB(1uV/m))
Column 08: Pr - Median receiver power (dB)
Column 09: SNRXXp - Signal-to-noise ratio at 10% of month
Column 10: OCR - Overall circuit reliability not considering scattering (%)
Column 11: OCRs - Overall circuit reliability considering scattering (%)
Column 12: Probocc - Probability of scattering (%)

************************** End Data Format ********************************

************************ Calculated Parameters ****************************

08, 01,    3.500,  51.1167,   7.2667,   174.73,  35.17, -82.92,  43.62,   0.00,   0.00,   0.00
08, 01,    5.300,  51.1167,   7.2667,   174.73,  22.39, -99.30,  35.66,   0.00,   0.00,   0.00
08, 01,    7.100,  51.1167,   7.2667,   174.73,   7.69,-116.54,  22.37,   0.00,   0.00,   0.00
08, 01,   10.100,  51.1167,   7.2667,   174.73,  -4.70,-131.99,  10.62,   0.00,   0.00,   0.00
08, 01,   14.100,  51.1167,   7.2667,   174.73, -12.07,-142.25,   5.56,   0.00,   0.00,   0.00
08, 01,   18.100,  51.1167,   7.2667,   174.73, -13.17,-145.52,   5.09,   0.00,   0.00,   0.00
08, 01,   21.100,  51.1167,   7.2667,   174.73, -13.16,-146.84,   5.67,   0.00,   0.00,   0.00
08, 01,   24.900,  51.1167,   7.2667,   174.73, -13.15,-148.27,   6.21,   0.00,   0.00,   0.00
08, 01,   28.300,  51.1167,   7.2667,   174.73, -13.14,-149.38,   6.61,   0.00,   0.00,   0.00
08, 01,   29.700,  51.1167,   7.2667,   174.73, -13.14,-149.80,   6.75,   0.00,   0.00,   0.00
08, 02,    3.500,  51.1167,   7.2667,   174.73,  36.14, -81.94,  45.87,   0.00,   0.00,   0.00
08, 02,    5.300,  51.1167,   7.2667,   174.73,  18.79,-102.90,  33.42,   0.00,   0.00,   0.00
08, 02,    7.100,  51.1167,   7.2667,   174.73,   6.07,-118.16,  21.82,   0.00,   0.00,   0.00
08, 02,   10.100,  51.1167,   7.2667,   174.73,  -5.75,-133.04,   9.23,   0.00,   0.00,   0.00
08, 02,   14.100,  51.1167,   7.2667,   174.73, -11.68,-141.86,   5.99,   0.00,   0.00,   0.00
08, 02,   18.100,  51.1167,   7.2667,   174.73, -12.17,-144.53,   6.09,   0.00,   0.00,   0.00
08, 02,   21.100,  51.1167,   7.2667,   174.73, -12.16,-145.85,   6.67,   0.00,   0.00,   0.00
08, 02,   24.900,  51.1167,   7.2667,   174.73, -12.15,-147.27,   7.21,   0.00,   0.00,   0.00
08, 02,   28.300,  51.1167,   7.2667,   174.73, -12.14,-148.38,   7.60,   0.00,   0.00,   0.00
08, 02,   29.700,  51.1167,   7.2667,   174.73, -12.14,-148.80,   7.75,   0.00,   0.00,   0.00
