band,date,hour_utc,tx_sign,tx_grid,tx_lat,tx_lon,rx_sign,rx_grid,rx_lat,rx_lon,distance_km,n_spots,avg_snr,worked
14,2026-07-20,6,N4DPH,EM64,34.479,-87.042,KX4O,FM18,38.646,-77.792,946.0,6,-16.833333333333332,True
14,2026-07-20,6,W8TMB,EN72,42.479,-85.042,K9IMM,EN52,42.896,-89.792,391.0,4,-9.5,True
14,2026-07-20,6,VK3QN,QF22,-37.521,144.958,M0PWX,JO01,51.396,0.708,16829.0,3,-9.333333333333334,True
14,2026-07-20,6,EA6ANX,JM19,39.521,2.542,DC1SAF,JN48,48.521,8.958,1124.0,1,-24.0,True
14,2026-07-20,6,GM8HHC,IO85,55.938,-3.208,VK7JJ,QE38,-41.271,146.958,17317.0,1,-27.0,True
14,2026-07-20,6,OE9PTI,JN47,47.479,9.792,F4WDO,JN08,48.021,0.208,719.0,1,-23.0,True
14,2026-07-20,6,LY3AZ,KO25,55.479,24.958,UR4URQ,KO40,50.854,29.542,598.0,6,-16.333333333333332,True
14,2026-07-20,6,PA3GHQ,JO21,51.812,4.958,DARCT13,JN47,47.562,9.875,590.0,3,-2.6666666666666665,True
14,2026-07-20,6,PA0PPW,JO21,51.479,4.958,DG3SDK,JN48,48.729,9.292,435.0,1,-10.0,True
14,2026-07-20,6,G8MCD,IO91,51.771,-0.292,PE1RZM,JO33,53.312,6.958,519.0,2,-15.0,True
14,2026-07-20,6,PE1ANW,JO31,51.938,6.125,9A1FER,JN75,45.812,15.958,989.0,1,-24.0,True
14,2026-07-20,6,KG5FCZ,EM21,31.312,-94.792,N7SET,CN87,47.771,-122.292,2958.0,1,-19.0,True
14,2026-07-20,6,KK4NDU,EM60,30.479,-87.042,VK5EI,PF85,-34.271,137.958,15802.0,1,-26.0,True
14,2026-07-20,6,N4WLO/1,EM50,30.604,-88.292,KC8QDR,EN91,41.312,-80.958,1360.0,1,2.0,True
14,2026-07-20,6,0K1FKU,IO84,54.479,-3.042,PE0MJX,JO31,51.354,6.042,700.0,1,-9.0,True
14,2026-07-20,6,GI3VAF,IO74,54.646,-5.625,N5CSC,EL09,29.396,-98.292,7546.0,1,-26.0,True
14,2026-07-20,6,DF6LT,JO43,53.562,9.708,M7LZT,IO83,53.521,-2.125,781.0,2,-20.0,True
14,2026-07-20,6,W6VYC,CM87,37.479,-123.042,WA3TTS,EN90,40.562,-80.042,3694.0,1,-24.0,True
14,2026-07-20,6,NH6EV,BL10,20.896,-156.292,KD2UBX,FN23,43.104,-74.625,7780.0,1,-22.0,True
14,2026-07-20,6,VK7CMV,QE29,-40.854,145.208,PD0OHW,JO33,53.104,6.958,16627.0,2,-25.5,True
14,2026-07-20,6,OE9AZH,JN47,47.229,9.625,WESSEX,IO80,50.729,-2.625,974.0,2,-9.0,True
14,2026-07-20,6,021QVP,IP02,62.479,-19.042,WESSEX,IO80,50.729,-2.625,1638.0,1,-11.0,True
14,2026-07-20,6,NJ9Y,EN52,42.146,-88.125,KL5SE,BP54,64.771,-148.042,4454.0,1,-21.0,True
14,2026-07-20,6,VK3ARW,QF12,-37.104,143.458,VE6FT,DO24,54.021,-115.125,13957.0,13,-6.230769230769231,True
14,2026-07-20,6,VK7CMV,QE29,-40.854,145.208,ZL1KFM,RF72,-37.396,175.125,2596.0,4,-17.0,True
14,2026-07-20,6,IK6ZEW,JN72,42.438,14.208,M9PSY,IO86,56.021,-3.375,1966.0,1,-23.0,True
14,2026-07-20,6,KK0JS,EM28,38.979,-94.875,WA1RAJ,FN42,42.812,-71.708,1987.0,1,-24.0,True
14,2026-07-20,6,AB0VZ,DM79,39.479,-105.042,N0QDS,EN35,45.021,-93.458,1134.0,1,-16.0,True
14,2026-07-20,6,OK1BF,JO70,50.062,15.708,HB9RYZ,JN47,47.021,8.542,626.0,5,-11.8,True
14,2026-07-20,6,VK3QN,QF22,-37.521,144.958,VK4DL/SDR1,QG49,-20.396,148.625,1937.0,6,-5.833333333333333,True
14,2026-07-20,6,KM4TTS,EM80,30.562,-83.875,KM3T-3,FN42,42.812,-71.625,1742.0,2,-25.5,True
14,2026-07-20,6,KH2R,FN21,41.479,-75.042,N5TNL,EM25,35.354,-94.292,1805.0,5,-23.4,True
14,2026-07-20,6,IU1FIG,JN44,44.479,8.958,SWL/HU1UB,JO21,51.562,4.792,846.0,2,-27.5,True
14,2026-07-20,6,G6PSZ,IO82,52.479,-3.042,OZ7IT,JO65,55.229,12.292,1049.0,3,-4.666666666666667,True
14,2026-07-20,6,AF7XZ,FN00,40.479,-79.042,VK7JJ,QE38,-41.271,146.958,16193.0,1,-20.0,True
14,2026-07-20,6,EA3AGU,JN01,41.729,1.792,PD0OHW,JO33,53.104,6.958,1322.0,6,-7.166666666666667,True
14,2026-07-20,6,AE7KH,CN85,45.479,-123.042,VK5HW,PF94,-35.562,138.625,13324.0,1,-16.0,True
14,2026-07-20,6,SM7WDL,JO76,56.479,14.958,HB9AK,JN36,46.896,7.292,1188.0,4,-14.0,True
14,2026-07-20,6,SM7XGC,JO65,55.646,13.458,W4KEL,FM08,38.146,-78.542,6713.0,3,-16.666666666666668,True
14,2026-07-20,6,M7EMN,IO81,51.479,-3.042,OH6BG,KP03,63.021,21.375,1929.0,2,-13.5,True
14,2026-07-20,6,W2WH,FN30,40.479,-73.042,VK7JJ,QE38,-41.271,146.958,16681.0,2,-18.0,True
14,2026-07-20,6,VE3XET,EN58,48.479,-89.042,WA3VPZ,FM19,39.562,-77.125,1372.0,3,-21.333333333333332,True
14,2026-07-20,6,OH3HE,KP32,62.479,26.958,EU1ZVV,KO33,53.729,27.875,974.0,1,-25.0,True
14,2026-07-20,6,G4GCI,IO90,50.854,-1.458,HB9VQQ,JN47,47.312,8.875,848.0,2,8.0,True
14,2026-07-20,6,W9RAG,EN54,44.479,-89.042,VK7CMV,QE29,-40.854,145.208,15643.0,1,-24.0,True
14,2026-07-20,6,KI4TWB/0,EM72,32.646,-85.375,N3AGE-0,FN30,40.938,-73.375,1409.0,2,-23.5,True
14,2026-07-20,6,AJ8S,EM89,39.812,-83.875,OE9TAV,JN47,47.438,9.625,7106.0,2,-18.5,True
14,2026-07-20,6,N9VP,FM06,36.104,-79.875,KFS/SE,CM87,37.396,-122.375,3757.0,3,-27.333333333333332,True
14,2026-07-20,6,NE7H,CN85,45.479,-123.042,KL3RR,BP51,61.146,-149.958,2463.0,2,-16.0,True
14,2026-07-20,6,OE9PTI,JN47,47.479,9.792,DG5DH,JO41,51.771,8.292,489.0,2,-19.0,True
14,2026-07-20,6,N5CSC,EL09,29.396,-98.292,VY0ERC,ER60,80.062,-86.375,5661.0,1,-19.0,True
14,2026-07-20,6,N4DPH,EM64,34.479,-87.042,WA2TP,FN30,40.854,-73.042,1419.0,6,-17.5,True
14,2026-07-20,6,SM7WDL,JO76,56.479,14.958,OE9TAV,JN47,47.438,9.625,1069.0,16,-18.5,True
14,2026-07-20,6,K4RHG,EL96,26.479,-81.042,KW7MM,DM42,32.521,-110.958,2962.0,4,-13.5,True
14,2026-07-20,6,GI3VAF,IO74,54.646,-5.625,EA8BFK,IL38,28.604,-13.875,2971.0,4,-7.5,True
14,2026-07-20,6,DF7PE,JN48,48.479,8.958,PE0MJX,JO31,51.354,6.042,382.0,1,-12.0,True
14,2026-07-20,6,VK3ARW,QF12,-37.104,143.458,IU0OQM,JN62,42.479,12.958,15804.0,1,-23.0,True
14,2026-07-20,6,PD0PF,JO22,52.271,4.542,KQ2Y,FN31,41.562,-73.458,5748.0,4,-17.0,True
14,2026-07-20,6,DL1FX,JN49,49.729,8.542,OE3XHU,JN88,48.562,16.042,560.0,1,-22.0,True
14,2026-07-20,6,K5ZAK,EL09,29.479,-99.042,TI0RC,EJ79,9.938,-84.042,2674.0,1,-27.0,True
14,2026-07-20,6,N2KPQ,EM94,34.938,-80.625,KD9LVX,EN70,40.479,-85.042,728.0,2,-16.0,True
14,2026-07-20,6,K5XL,EM12,32.646,-97.125,W1CK-1,DM13,33.188,-117.292,1880.0,4,-23.5,True
14,2026-07-20,6,K4PQC,EM83,33.854,-83.458,W4KEL,FM08,38.146,-78.542,650.0,1,-11.0,True
14,2026-07-20,6,M0SAS,IO82,52.479,-3.042,WA2TP,FN30,40.854,-73.042,5275.0,6,-10.166666666666666,True
14,2026-07-20,6,K4RCC,EM85,35.354,-83.208,K5XL,EM12,32.646,-97.125,1317.0,1,-30.0,True
